Entry	Entry name	Gene names
B5VJK9	B5VJK9_YEAS6	AWRI1631_74900
B5VPX4	B5VPX4_YEAS6	AWRI1631_133430
A0A1S5VAT8	A0A1S5VAT8_YEASX	BRE5
A0A5B9RH44	A0A5B9RH44_YEASX	CYT1
B5VI58	B5VI58_YEAS6	AWRI1631_60990
B5VR56	B5VR56_YEAS6	AWRI1631_143370
B5VJ54	B5VJ54_YEAS6	AWRI1631_73330
E9P8M1	E9P8M1_YEASX	EST2
B5VMG7	B5VMG7_YEAS6	AWRI1631_112420
B5VEC7	B5VEC7_YEAS6	AWRI1631_22540
B5VIY5	B5VIY5_YEAS6	AWRI1631_72620
E9P8I9	E9P8I9_YEASX	YAR028w
B5VH44	B5VH44_YEAS6	AWRI1631_47360
B5VQ16	B5VQ16_YEAS6	AWRI1631_133870
B5VME3	B5VME3_YEAS6	AWRI1631_112140
B5VFK4	B5VFK4_YEAS6	AWRI1631_41740
B5VLY6	B5VLY6_YEAS6	AWRI1631_110480
B5VRK4	B5VRK4_YEAS6	AWRI1631_151120
A2NXY6	A2NXY6_YEASX	internal ORF G1667
B5VQQ2	B5VQQ2_YEAS6	AWRI1631_141760
B5VSU9	B5VSU9_YEAS6	AWRI1631_160390
B5VLF2	B5VLF2_YEAS6	AWRI1631_101830
B5VRW2	B5VRW2_YEAS6	AWRI1631_152250
B3LQ97	B3LQ97_YEAS1	SCRG_03659
B3LM26	B3LM26_YEAS1	SCRG_02029
B3LPW1	B3LPW1_YEAS1	SCRG_03514
B3LGS8	B3LGS8_YEAS1	SCRG_00528
B3LMH6	B3LMH6_YEAS1	SCRG_02185
B3LHV4	B3LHV4_YEAS1	SCRG_01247
B3LUF8	B3LUF8_YEAS1	SCRG_05493
B3LGG4	B3LGG4_YEAS1	SCRG_00406
B3LQZ9	B3LQZ9_YEAS1	SCRG_03926
B3LFV5	B3LFV5_YEAS1	SCRG_00186
B3LSH5	B3LSH5_YEAS1	SCRG_04767
B3LJ10	B3LJ10_YEAS1	SCRG_01354
B3RH61	B3RH61_YEAS1	SCRG_04128
B3LN68	B3LN68_YEAS1	SCRG_02882
B3LGJ4	B3LGJ4_YEAS1	SCRG_00439
B3LQX0	B3LQX0_YEAS1	SCRG_03895
B3LP16	B3LP16_YEAS1	SCRG_03294
B3LGU1	B3LGU1_YEAS1	SCRG_00542
B3LNE3	B3LNE3_YEAS1	SCRG_02967
B3RHV2	B3RHV2_YEAS1	SCRG_04381
B3LJH1	B3LJH1_YEAS1	SCRG_01524
B3LG23	B3LG23_YEAS1	CIA1 SCRG_00258
B3LS73	B3LS73_YEAS1	SCRG_04532
B3LJQ9	B3LJQ9_YEAS1	SCRG_01623
B3LIB8	B3LIB8_YEAS1	SCRG_00908
B3LUS9	B3LUS9_YEAS1	SCRG_05625
B3LGD7	B3LGD7_YEAS1	SCRG_00377
B3LJ21	B3LJ21_YEAS1	SCRG_01365
B3LUS3	B3LUS3_YEAS1	SCRG_05616
B3LKY2	B3LKY2_YEAS1	SCRG_02404
B3LSA5	B3LSA5_YEAS1	SCRG_04690
B3LLF6	B3LLF6_YEAS1	SCRG_01797
B3LIL1	B3LIL1_YEAS1	SCRG_01003
B3LI69	B3LI69_YEAS1	SCRG_00859
B3LQ35	B3LQ35_YEAS1	SCRG_03593
B3LJ55	B3LJ55_YEAS1	SCRG_01402
B3LMB3	B3LMB3_YEAS1	SCRG_02119
B3LT14	B3LT14_YEAS1	SCRG_05029
B3LUP2	B3LUP2_YEAS1	SCRG_05581
B3LMZ9	B3LMZ9_YEAS1	SCRG_02810
B3LID3	B3LID3_YEAS1	SCRG_00924
B3LSA4	B3LSA4_YEAS1	SCRG_04689
B3LIH9	B3LIH9_YEAS1	SCRG_00970
B3LG21	B3LG21_YEAS1	SCRG_00256
B3LG35	B3LG35_YEAS1	SCRG_00271
B3LM67	B3LM67_YEAS1	SCRG_02073
B3LI93	B3LI93_YEAS1	SCRG_00883
B3LKW5	B3LKW5_YEAS1	SCRG_02387
B3LQ52	B3LQ52_YEAS1	SCRG_03611
B3LJT0	B3LJT0_YEAS1	SCRG_01645
B3LGG8	B3LGG8_YEAS1	SCRG_00410
B3LTB5	B3LTB5_YEAS1	SCRG_05133
B3RHA7	B3RHA7_YEAS1	SCRG_04175
B3LU88	B3LU88_YEAS1	SCRG_05416
B3LP73	B3LP73_YEAS1	SCRG_03356
B3LSJ7	B3LSJ7_YEAS1	SCRG_04793
B3LKZ8	B3LKZ8_YEAS1	SCRG_02422
B3LTA2	B3LTA2_YEAS1	SCRG_05120
B3LRQ7	B3LRQ7_YEAS1	SCRG_04618
B3LPM9	B3LPM9_YEAS1	SCRG_03129
B3LRZ0	B3LRZ0_YEAS1	SCRG_04443
B3RH93	B3RH93_YEAS1	SCRG_04161
B3LNF8	B3LNF8_YEAS1	SCRG_02983
B3LLZ1	B3LLZ1_YEAS1	SCRG_01990
B3LK10	B3LK10_YEAS1	SCRG_01728
B3LM46	B3LM46_YEAS1	SCRG_02049
B3LNH2	B3LNH2_YEAS1	SCRG_02997
B3LL66	B3LL66_YEAS1	SCRG_02494
B3LRR1	B3LRR1_YEAS1	SCRG_04622
B3RHM6	B3RHM6_YEAS1	SCRG_04300
B3LQQ1	B3LQQ1_YEAS1	SCRG_03823
B3LFZ2	B3LFZ2_YEAS1	SCRG_00226
B3LTJ7	B3LTJ7_YEAS1	SCRG_05167
B3LGB5	B3LGB5_YEAS1	SCRG_00354
B3LIM4	B3LIM4_YEAS1	SCRG_01017
B3LKA2	B3LKA2_YEAS1	SCRG_02616
B3LRY3	B3LRY3_YEAS1	SCRG_04436
B3LHE4	B3LHE4_YEAS1	SCRG_01077
B3LKK3	B3LKK3_YEAS1	SCRG_02271
B3LGS1	B3LGS1_YEAS1	SCRG_00520
B3LIJ2	B3LIJ2_YEAS1	SCRG_00984
B3LIC7	B3LIC7_YEAS1	SCRG_00918
B3LU54	B3LU54_YEAS1	SCRG_05380
B3LPZ6	B3LPZ6_YEAS1	SCRG_03552
B3LKP9	B3LKP9_YEAS1	SCRG_02318
B3LM48	B3LM48_YEAS1	SCRG_02051
B3LM51	B3LM51_YEAS1	SCRG_02054
B3LTI8	B3LTI8_YEAS1	SCRG_05157
B3LFE7	B3LFE7_YEAS1	SCRG_00020
B3RHV3	B3RHV3_YEAS1	SCRG_04382
B3LTH7	B3LTH7_YEAS1	SCRG_05146
B3LLR2	B3LLR2_YEAS1	SCRG_01906
B3LJU1	B3LJU1_YEAS1	SCRG_01657
B3LJP3	B3LJP3_YEAS1	SCRG_01607
B3LIV5	B3LIV5_YEAS1	SCRG_01295
B3LG80	B3LG80_YEAS1	SCRG_00317
B3LJS1	B3LJS1_YEAS1	SCRG_01636
B3LST7	B3LST7_YEAS1	SCRG_04886
B3LR86	B3LR86_YEAS1	SCRG_04021
B3LQ79	B3LQ79_YEAS1	SCRG_03638
B3LPV9	B3LPV9_YEAS1	SCRG_03512
B3LTT0	B3LTT0_YEAS1	SCRG_05255
B3LIA7	B3LIA7_YEAS1	SCRG_00897
B3LN48	B3LN48_YEAS1	SCRG_02861
B3LMC6	B3LMC6_YEAS1	SCRG_02133
B3LJ46	B3LJ46_YEAS1	SCRG_01393
B3LR68	B3LR68_YEAS1	SCRG_04002
B3LKP3	B3LKP3_YEAS1	SCRG_02312
B3LQ01	B3LQ01_YEAS1	SCRG_03557
B3LM63	B3LM63_YEAS1	SCRG_02069
B3LP52	B3LP52_YEAS1	SCRG_03334
B3LKS8	B3LKS8_YEAS1	SCRG_02347
B3LQX7	B3LQX7_YEAS1	SCRG_03902
B3LSH2	B3LSH2_YEAS1	SCRG_04764
B3LLH1	B3LLH1_YEAS1	SCRG_01813
B3RHJ1	B3RHJ1_YEAS1	SCRG_04261
B3LLI9	B3LLI9_YEAS1	SCRG_01832
B3LU10	B3LU10_YEAS1	SCRG_05335
B3LUT0	B3LUT0_YEAS1	SCRG_05626
B3LSM9	B3LSM9_YEAS1	SCRG_04827
B3LN58	B3LN58_YEAS1	SCRG_02871
B3LFJ2	B3LFJ2_YEAS1	SCRG_00067
B3LT21	B3LT21_YEAS1	SCRG_05036
B3LIX7	B3LIX7_YEAS1	SCRG_01318
B3LIK4	B3LIK4_YEAS1	SCRG_00996
B3LLY6	B3LLY6_YEAS1	SCRG_01985
B3LPB1	B3LPB1_YEAS1	SCRG_03399
B3LHG6	B3LHG6_YEAS1	SCRG_01099
B3LTC9	B3LTC9_YEAS1	SCRG_04946
B3LG48	B3LG48_YEAS1	SCRG_00285
B3LU23	B3LU23_YEAS1	SCRG_05348
B3LTE6	B3LTE6_YEAS1	SCRG_04965
B3LSP5	B3LSP5_YEAS1	SCRG_04843
B3RHH8	B3RHH8_YEAS1	SCRG_04248
B3LP26	B3LP26_YEAS1	SCRG_03306
B3LQT1	B3LQT1_YEAS1	SCRG_03854
B3LP89	B3LP89_YEAS1	SCRG_03373
B3LMD5	B3LMD5_YEAS1	SCRG_02142
B3LI66	B3LI66_YEAS1	SCRG_00856
B3LH64	B3LH64_YEAS1	SCRG_00672
B3LR50	B3LR50_YEAS1	SCRG_03982
B3LFM9	B3LFM9_YEAS1	BNA7 SCRG_00107
B3RHF1	B3RHF1_YEAS1	SCRG_04219
B3LG31	B3LG31_YEAS1	SCRG_00267
B3LN17	B3LN17_YEAS1	SCRG_02829
B3LM80	B3LM80_YEAS1	SCRG_02086
B3LS95	B3LS95_YEAS1	SCRG_04680
B3LL74	B3LL74_YEAS1	SCRG_02503
B3LTB4	B3LTB4_YEAS1	SCRG_05132
B3LJ57	B3LJ57_YEAS1	SCRG_01404
B3LML0	B3LML0_YEAS1	SCRG_02219
B3LRU4	B3LRU4_YEAS1	SCRG_04658
B3LJ82	B3LJ82_YEAS1	SCRG_01430
B3LTU6	B3LTU6_YEAS1	SCRG_05271
B3LSQ2	B3LSQ2_YEAS1	SCRG_04850
B3LTV4	B3LTV4_YEAS1	SCRG_05279
B3LKK2	B3LKK2_YEAS1	SCRG_02270
B3RHN3	B3RHN3_YEAS1	SCRG_04308
B3LUY0	B3LUY0_YEAS1	SCRG_05680
B3LT89	B3LT89_YEAS1	SCRG_05107
B3LKW1	B3LKW1_YEAS1	SCRG_02383
B3LM59	B3LM59_YEAS1	SCRG_02063
B3RH67	B3RH67_YEAS1	SCRG_04134
B3LNG1	B3LNG1_YEAS1	SCRG_02986
B3LUA9	B3LUA9_YEAS1	SCRG_05441
B3LUX2	B3LUX2_YEAS1	SCRG_05672
B3LQU9	B3LQU9_YEAS1	SCRG_03874
B3LQH1	B3LQH1_YEAS1	SCRG_03736
B3LUJ2	B3LUJ2_YEAS1	SCRG_05530
B3LKB5	B3LKB5_YEAS1	SCRG_02629
B3LKR2	B3LKR2_YEAS1	SCRG_02331
B3LIV2	B3LIV2_YEAS1	SCRG_01292
B3LNG6	B3LNG6_YEAS1	SCRG_02991
B3LJ62	B3LJ62_YEAS1	SCRG_01409
B3LKG8	B3LKG8_YEAS1	SCRG_02236
B3LKW7	B3LKW7_YEAS1	SCRG_02389
B3LPS4	B3LPS4_YEAS1	SCRG_03477
B3LTG3	B3LTG3_YEAS1	SCRG_04986
B3LQ76	B3LQ76_YEAS1	SCRG_03635
B3LS64	B3LS64_YEAS1	SCRG_04523
B3LR00	B3LR00_YEAS1	SCRG_03927
B3LT44	B3LT44_YEAS1	SCRG_05060
B3LRY1	B3LRY1_YEAS1	SCRG_04434
B3LMI1	B3LMI1_YEAS1	HER2 SCRG_02190
B3LHP3	B3LHP3_YEAS1	SCRG_01183
B3LID5	B3LID5_YEAS1	SCRG_00926
B3LIU0	B3LIU0_YEAS1	SCRG_01280
B3LGE4	B3LGE4_YEAS1	SCRG_00385
B3LUX8	B3LUX8_YEAS1	SCRG_05678
B3LQ24	B3LQ24_YEAS1	SCRG_03582
B3LRV0	B3LRV0_YEAS1	SCRG_04402
B3RHD5	B3RHD5_YEAS1	SCRG_04203
B3LTP7	B3LTP7_YEAS1	SCRG_05218
B3LPF7	B3LPF7_YEAS1	SCRG_03447
B3LNQ0	B3LNQ0_YEAS1	SCRG_03175
B3LG38	B3LG38_YEAS1	SCRG_00274
B3RHH3	B3RHH3_YEAS1	SCRG_04243
B3LM73	B3LM73_YEAS1	SCRG_02079
B3LHW7	B3LHW7_YEAS1	SCRG_00750
B3RHV4	B3RHV4_YEAS1	SCRG_04383
B3LT47	B3LT47_YEAS1	SCRG_05063
B3LSC0	B3LSC0_YEAS1	SCRG_04705
B3LTN5	B3LTN5_YEAS1	SCRG_05206
B3LSM5	B3LSM5_YEAS1	SCRG_04823
B3LMC0	B3LMC0_YEAS1	SCRG_02126
B3LGQ2	B3LGQ2_YEAS1	SCRG_00501
B3LID0	B3LID0_YEAS1	SCRG_00921
B3LKM0	B3LKM0_YEAS1	SCRG_02289
B3LSY8	B3LSY8_YEAS1	SCRG_05003
B3LM01	B3LM01_YEAS1	SCRG_02000
B3LJ34	B3LJ34_YEAS1	SCRG_01379
B3LU81	B3LU81_YEAS1	SCRG_05409
B3LJR7	B3LJR7_YEAS1	SCRG_01632
B3LI51	B3LI51_YEAS1	SCRG_00840
B3LLC2	B3LLC2_YEAS1	SCRG_02553
B3LJ86	B3LJ86_YEAS1	SCRG_01435
B3LN39	B3LN39_YEAS1	SCRG_02852
B3LPN1	B3LPN1_YEAS1	SCRG_03133
B3LP68	B3LP68_YEAS1	SCRG_03350
B3LL43	B3LL43_YEAS1	SCRG_02470
B3LUI3	B3LUI3_YEAS1	SCRG_05519
B3LMC7	B3LMC7_YEAS1	SCRG_02134
B3LMM3	B3LMM3_YEAS1	SCRG_02681
B3LPL6	B3LPL6_YEAS1	SCRG_03115
B3LR98	B3LR98_YEAS1	SCRG_04033
B3LLK2	B3LLK2_YEAS1	SCRG_01845
B3LLN3	B3LLN3_YEAS1	SCRG_01876
B3LJ00	B3LJ00_YEAS1	SCRG_01344
B3LSD0	B3LSD0_YEAS1	SCRG_04715
B3LPF2	B3LPF2_YEAS1	SCRG_03442
B3LRC5	B3LRC5_YEAS1	SCRG_04061
B3LH69	B3LH69_YEAS1	SCRG_00677
B3LLX2	B3LLX2_YEAS1	SCRG_01971
B3LTD0	B3LTD0_YEAS1	SCRG_04947
B3LJJ4	B3LJJ4_YEAS1	SCRG_01554
B3LLB2	B3LLB2_YEAS1	SCRG_02543
B3LUW9	B3LUW9_YEAS1	SCRG_05669
B3LIE8	B3LIE8_YEAS1	SCRG_00939
B3LN29	B3LN29_YEAS1	SCRG_02841
B3LLV3	B3LLV3_YEAS1	SCRG_01952
B3LIT6	B3LIT6_YEAS1	SCRG_01276
B3LMC2	B3LMC2_YEAS1	SCRG_02128
B3LKV2	B3LKV2_YEAS1	SCRG_02373
B3LRT9	B3LRT9_YEAS1	SCRG_04653
B3LHZ8	B3LHZ8_YEAS1	SCRG_00782
B3LJS6	B3LJS6_YEAS1	SCRG_01641
B3LR69	B3LR69_YEAS1	SCRG_04003
B3LK12	B3LK12_YEAS1	SCRG_01730
B3LQA4	B3LQA4_YEAS1	SCRG_03666
B3LK39	B3LK39_YEAS1	SCRG_01758
B3LN98	B3LN98_YEAS1	SCRG_02916
B3LKT0	B3LKT0_YEAS1	SCRG_02349
B3LUV2	B3LUV2_YEAS1	SCRG_05652
B3LTM0	B3LTM0_YEAS1	SCRG_05191
B3LJM7	B3LJM7_YEAS1	SCRG_01589
B3LS68	B3LS68_YEAS1	SCRG_04527
B3LHE9	B3LHE9_YEAS1	SCRG_01082
B3LIT9	B3LIT9_YEAS1	SCRG_01279
B3LKP7	B3LKP7_YEAS1	SCRG_02316
B3LI42	B3LI42_YEAS1	SCRG_00827
B3LN35	B3LN35_YEAS1	SCRG_02847
B3LSR8	B3LSR8_YEAS1	SCRG_04866
B3LJ04	B3LJ04_YEAS1	SCRG_01348
B3LHG0	B3LHG0_YEAS1	SCRG_01093
B3LFQ5	B3LFQ5_YEAS1	SCRG_00135
B3LGW7	B3LGW7_YEAS1	SCRG_00568
B3LJJ9	B3LJJ9_YEAS1	SCRG_01559
B3LG87	B3LG87_YEAS1	SCRG_00324
B3LRD5	B3LRD5_YEAS1	SCRG_04075
B3LLR0	B3LLR0_YEAS1	ADI1 SCRG_01904
B3LMN7	B3LMN7_YEAS1	SCRG_02695
B3LQ17	B3LQ17_YEAS1	SCRG_03575
B3LT27	B3LT27_YEAS1	SCRG_05042
B3LLV9	B3LLV9_YEAS1	SCRG_01958
B3LIG4	B3LIG4_YEAS1	SCRG_00955
B3LRP7	B3LRP7_YEAS1	SCRG_04608
B3LRQ6	B3LRQ6_YEAS1	SCRG_04617
B3LN30	B3LN30_YEAS1	SCRG_02842
B3LJK9	B3LJK9_YEAS1	SCRG_01570
B3LK65	B3LK65_YEAS1	SCRG_02578
B3LLI1	B3LLI1_YEAS1	SCRG_01823
B3LLQ0	B3LLQ0_YEAS1	SCRG_01894
B3LFS4	B3LFS4_YEAS1	SCRG_00154
B3LQP6	B3LQP6_YEAS1	SCRG_03818
B3LHI7	B3LHI7_YEAS1	SCRG_01122
B3LHN3	B3LHN3_YEAS1	SCRG_01172
B3LTU5	B3LTU5_YEAS1	SCRG_05270
B3LLS5	B3LLS5_YEAS1	SCRG_01920
B3LUS2	B3LUS2_YEAS1	SCRG_05611
B3LTK9	B3LTK9_YEAS1	SCRG_05179
B3LNV6	B3LNV6_YEAS1	SCRG_03233
B3LNP4	B3LNP4_YEAS1	SCRG_03169
B3LIK2	B3LIK2_YEAS1	SCRG_00994
B3LLX0	B3LLX0_YEAS1	SCRG_01969
B3LUL4	B3LUL4_YEAS1	SCRG_05552
B3LHD0	B3LHD0_YEAS1	SCRG_01063
B3LIJ3	B3LIJ3_YEAS1	SCRG_00985
B3LRJ0	B3LRJ0_YEAS1	SCRG_04548
B3LRW7	B3LRW7_YEAS1	SCRG_04420
B3LI86	B3LI86_YEAS1	THI4 SCRG_00876
B3LMS2	B3LMS2_YEAS1	SCRG_02730
B3LUT5	B3LUT5_YEAS1	SCRG_05631
B3LKQ6	B3LKQ6_YEAS1	SCRG_02325
B3LRP6	B3LRP6_YEAS1	SCRG_04607
B3LQB8	B3LQB8_YEAS1	LSM8 SCRG_03681
B3LN42	B3LN42_YEAS1	SCRG_02855
B3LUS7	B3LUS7_YEAS1	SCRG_05620
B3LKP1	B3LKP1_YEAS1	SCRG_02310
B3LSB9	B3LSB9_YEAS1	SCRG_04704
B3LFP5	B3LFP5_YEAS1	SCRG_00123
B3LGL1	B3LGL1_YEAS1	SCRG_00457
B3LIS5	B3LIS5_YEAS1	SCRG_01265
B3LND5	B3LND5_YEAS1	SCRG_02958
B3LN70	B3LN70_YEAS1	SCRG_02884
B3LKS5	B3LKS5_YEAS1	SCRG_02344
B3LMS7	B3LMS7_YEAS1	SCRG_02735
B3LPM7	B3LPM7_YEAS1	SCRG_03127
B3LMN3	B3LMN3_YEAS1	SCRG_02691
B3LK56	B3LK56_YEAS1	SCRG_02568
B3LKB2	B3LKB2_YEAS1	SCRG_02626
B3LS04	B3LS04_YEAS1	SCRG_04457
B3LSG6	B3LSG6_YEAS1	SCRG_04755
B3LJD5	B3LJD5_YEAS1	SCRG_01487
B3LNT1	B3LNT1_YEAS1	SCRG_03208
B3LQ57	B3LQ57_YEAS1	SCRG_03616
B3LJL9	B3LJL9_YEAS1	SCRG_01581
B3LUX0	B3LUX0_YEAS1	SCRG_05670
B3LFX8	B3LFX8_YEAS1	SCRG_00210
B3LLD2	B3LLD2_YEAS1	SCRG_01772
B3LPR1	B3LPR1_YEAS1	SCRG_03462
B3LI32	B3LI32_YEAS1	SCRG_00817
B3LU32	B3LU32_YEAS1	SCRG_05357
B3LRD1	B3LRD1_YEAS1	SCRG_04070
B3LGB7	B3LGB7_YEAS1	SCRG_00356
B3RHA5	B3RHA5_YEAS1	SCRG_04173
B3LSH6	B3LSH6_YEAS1	SCRG_04768
B3LPY1	B3LPY1_YEAS1	SCRG_03537
B3LKB4	B3LKB4_YEAS1	SCRG_02628
B3LL27	B3LL27_YEAS1	SCRG_02454
B3LHK9	B3LHK9_YEAS1	SCRG_01148
B3LQY6	B3LQY6_YEAS1	SCRG_03911
B3LIT7	B3LIT7_YEAS1	SCRG_01277
B3LJ95	B3LJ95_YEAS1	SCRG_01445
B3LRA7	B3LRA7_YEAS1	SCRG_04042
B3LQX4	B3LQX4_YEAS1	SCRG_03899
B3LU45	B3LU45_YEAS1	SCRG_05371
B3LJB1	B3LJB1_YEAS1	SCRG_01461
B3LNL9	B3LNL9_YEAS1	SCRG_03046
B3RHS4	B3RHS4_YEAS1	SCRG_04353
B3LSZ9	B3LSZ9_YEAS1	SCRG_05014
B3LT57	B3LT57_YEAS1	SCRG_05073
B3LPT5	B3LPT5_YEAS1	SCRG_03488
B3LGT0	B3LGT0_YEAS1	SCRG_00530
B3LFV8	B3LFV8_YEAS1	SCRG_00190
B3LUJ9	B3LUJ9_YEAS1	SCRG_05537
B3LK29	B3LK29_YEAS1	SCRG_01748
B3LK08	B3LK08_YEAS1	SCRG_01726
B3LN89	B3LN89_YEAS1	SCRG_02907
B3LMI7	B3LMI7_YEAS1	SCRG_02196
B3LS83	B3LS83_YEAS1	SCRG_04667
B3LNU4	B3LNU4_YEAS1	SCRG_03221
B3LUB0	B3LUB0_YEAS1	SCRG_05442
B3LN79	B3LN79_YEAS1	ALG14 SCRG_02897
B3LI23	B3LI23_YEAS1	SCRG_00808
B3LKR3	B3LKR3_YEAS1	SCRG_02332
B3LN54	B3LN54_YEAS1	SCRG_02867
B3LM85	B3LM85_YEAS1	SCRG_02091
B3LM83	B3LM83_YEAS1	SCRG_02089
B3LTU4	B3LTU4_YEAS1	SCRG_05269
B3LTN6	B3LTN6_YEAS1	SCRG_05207
B3LS12	B3LS12_YEAS1	SCRG_04467
B3LI81	B3LI81_YEAS1	SCRG_00871
B3RHV9	B3RHV9_YEAS1	SCRG_04388
B3LK94	B3LK94_YEAS1	SCRG_02608
B3LUH2	B3LUH2_YEAS1	SCRG_05508
B3LI38	B3LI38_YEAS1	SCRG_00823
B3LMW2	B3LMW2_YEAS1	SCRG_02771
B3LHH9	B3LHH9_YEAS1	SCRG_01114
B3LK59	B3LK59_YEAS1	SCRG_02572
B3LMA8	B3LMA8_YEAS1	SCRG_02114
B3LGI6	B3LGI6_YEAS1	SCRG_00429
B3LG28	B3LG28_YEAS1	SCRG_00263
B3LIK9	B3LIK9_YEAS1	SCRG_01001
B3LKS4	B3LKS4_YEAS1	SCRG_02343
B3LK19	B3LK19_YEAS1	SCRG_01737
B3LSP9	B3LSP9_YEAS1	SCRG_04847
B3LQK6	B3LQK6_YEAS1	SCRG_03773
B3LFR4	B3LFR4_YEAS1	SCRG_00144
B3LUH9	B3LUH9_YEAS1	SCRG_05515
B3LM70	B3LM70_YEAS1	SCRG_02076
B3LGN3	B3LGN3_YEAS1	SCRG_00479
B3LS76	B3LS76_YEAS1	SCRG_04537
B3LR52	B3LR52_YEAS1	SCRG_03984
B3LKU6	B3LKU6_YEAS1	SCRG_02366
B3LQI6	B3LQI6_YEAS1	SCRG_03751
B3LI05	B3LI05_YEAS1	SCRG_00789
B3LGJ7	B3LGJ7_YEAS1	SCRG_00442
B3LRW2	B3LRW2_YEAS1	SCRG_04414
B3LFX5	B3LFX5_YEAS1	SCRG_00207
B3LFJ3	B3LFJ3_YEAS1	SCRG_00068
B3LGN8	B3LGN8_YEAS1	SCRG_00484
B3LKZ4	B3LKZ4_YEAS1	SCRG_02418
B3LRN1	B3LRN1_YEAS1	SCRG_04591
B3LTM3	B3LTM3_YEAS1	SCRG_05194
B3LU38	B3LU38_YEAS1	SCRG_05363
B3LK57	B3LK57_YEAS1	SCRG_02570
B3LL84	B3LL84_YEAS1	SCRG_02513
B3LPI7	B3LPI7_YEAS1	SCRG_03086
B3LG71	B3LG71_YEAS1	SCRG_00308
B3RH68	B3RH68_YEAS1	SCRG_04135
B3LMG1	B3LMG1_YEAS1	SCRG_02169
B3LHL9	B3LHL9_YEAS1	SCRG_01158
B3LK22	B3LK22_YEAS1	SCRG_01740
B3LM03	B3LM03_YEAS1	MED11 SCRG_02002
B3LTM2	B3LTM2_YEAS1	SCRG_05193
B3LQQ4	B3LQQ4_YEAS1	SCRG_03826
B3LRD7	B3LRD7_YEAS1	SCRG_04077
B3LMX2	B3LMX2_YEAS1	SCRG_02781
B3LG09	B3LG09_YEAS1	SCRG_00244
B3LRS1	B3LRS1_YEAS1	SCRG_04632
B3LGK0	B3LGK0_YEAS1	SCRG_00445
B3LHY0	B3LHY0_YEAS1	SCRG_00763
B3LG92	B3LG92_YEAS1	SCRG_00329
B3LSE3	B3LSE3_YEAS1	SCRG_04730
B3LME7	B3LME7_YEAS1	SCRG_02155
B3LJ58	B3LJ58_YEAS1	SCRG_01405
B3LJP1	B3LJP1_YEAS1	SCRG_01605
B3LPJ3	B3LPJ3_YEAS1	SCRG_03092
B3LUK6	B3LUK6_YEAS1	SCRG_05544
B3LM02	B3LM02_YEAS1	SCRG_02001
B3LLG3	B3LLG3_YEAS1	SCRG_01805
B3LHX7	B3LHX7_YEAS1	SCRG_00760
B3LPF8	B3LPF8_YEAS1	SCRG_03448
B3LGA0	B3LGA0_YEAS1	SCRG_00338
B3LFL2	B3LFL2_YEAS1	SCRG_00088
B3LRR2	B3LRR2_YEAS1	SCRG_04623
B3LGG3	B3LGG3_YEAS1	SCRG_00405
B3LMZ4	B3LMZ4_YEAS1	SCRG_02805
B3LPD1	B3LPD1_YEAS1	SCRG_03419
B3LMM1	B3LMM1_YEAS1	SCRG_02679
B3LQK4	B3LQK4_YEAS1	SCRG_03771
B3LMD7	B3LMD7_YEAS1	SCRG_02144
B3LP58	B3LP58_YEAS1	SCRG_03340
B3LIU4	B3LIU4_YEAS1	SCRG_01284
B3LIL8	B3LIL8_YEAS1	SCRG_01010
B3LGD9	B3LGD9_YEAS1	SCRG_00380
B3LFP2	B3LFP2_YEAS1	SCRG_00120
B3LL22	B3LL22_YEAS1	SCRG_02447
B3LL49	B3LL49_YEAS1	SCRG_02477
B3LSV3	B3LSV3_YEAS1	SCRG_04904
B3LRZ6	B3LRZ6_YEAS1	SCRG_04449
B3LQS0	B3LQS0_YEAS1	SCRG_03843
B3LQI1	B3LQI1_YEAS1	SCRG_03746
B3LNZ7	B3LNZ7_YEAS1	AAH1 SCRG_03275
B3LKH5	B3LKH5_YEAS1	SCRG_02243
B3LNM9	B3LNM9_YEAS1	SCRG_03056
B3LSE9	B3LSE9_YEAS1	SCRG_04736
B3RHL1	B3RHL1_YEAS1	SCRG_04283
B3LUF0	B3LUF0_YEAS1	SCRG_05485
B3LU35	B3LU35_YEAS1	SCRG_05360
B3LQD0	B3LQD0_YEAS1	SCRG_03693
B3LJT1	B3LJT1_YEAS1	SCRG_01646
B3LS67	B3LS67_YEAS1	SCRG_04526
B3LK11	B3LK11_YEAS1	SCRG_01729
B3LIQ1	B3LIQ1_YEAS1	SCRG_01046
B3LRV3	B3LRV3_YEAS1	SCRG_04405
B3LPP7	B3LPP7_YEAS1	SCRG_03150
B3LK86	B3LK86_YEAS1	SCRG_02600
B3LGN6	B3LGN6_YEAS1	SCRG_00482
B3LLD3	B3LLD3_YEAS1	SCRG_01773
B3LLW5	B3LLW5_YEAS1	SCRG_01964
B3LMK5	B3LMK5_YEAS1	SCRG_02214
B3LU29	B3LU29_YEAS1	SCRG_05354
B3LKB0	B3LKB0_YEAS1	SCRG_02624
B3LL10	B3LL10_YEAS1	SCRG_02434
B3LS08	B3LS08_YEAS1	SCRG_04463
B3LGP4	B3LGP4_YEAS1	SCRG_00490
B3LFQ6	B3LFQ6_YEAS1	SCRG_00136
B3LL31	B3LL31_YEAS1	SCRG_02458
B3LNX0	B3LNX0_YEAS1	SCRG_03247
