Entry	Entry name	Gene names
P25651	CSM1_YEAST	CSM1 SPO86 YCR086W YCR86W
P38316	ATG12_YEAST	ATG12 APG12 YBR217W YBR1506
Q08955	CSM4_YEAST	CSM4 YPL200W
P32178	CHMU_YEAST	ARO7 OSM2 YPR060C YP9499.15C
Q07442	BDF2_YEAST	BDF2 YDL070W
A6ZML8	ATG16_YEAS7	ATG16 APG15 APG16 CVT11 SAP18 SCY_4334
P40512	CSN11_YEAST	PCI8 CSN11 YIH1 YIL071C
Q06410	ATG17_YEAST	ATG17 APG17 YLR423C
Q00776	AP1M1_YEAST	APM1 YAP54 YPL259C P0394
C8Z951	CHO2_YEAS8	CHO2 EC1118_1G1_4786g
P37898	AAP1_YEAST	AAP1 YHR047C
P38147	CHK1_YEAST	CHK1 YBR274W YBR1742
P53104	ATG1_YEAST	ATG1 APG1 AUT3 CVT10 YGL180W G1615
P38065	AP2A_YEAST	APL3 YBL037W YBL0412
P25568	ATG22_YEAST	ATG22 AUT4 YCL038C YCL38C
P27351	AP2B_YEAST	APL1 YAP80 YJR005W J1422
Q06321	ATG26_YEAST	ATG26 UGT51 YLR189C
Q08347	BDS1_YEAST	BDS1 YOL164W
Q03981	CSN9_YEAST	CSN9 YDR179C
A6ZRK1	ATG2_YEAS7	ATG2 SCY_4562
P22516	CHL1_YEAST	CHL1 CTF1 YPL008W YP8132.05
P08004	CHS1_YEAST	CHS1 YNL192W N1404
Q06485	ATG33_YEAST	ATG33 YLR356W
P46682	AP3B_YEAST	APL6 YKS5 YGR261C G9331
A6ZS81	ATG3_YEAS7	ATG3 SCY_4792
P40344	ATG3_YEAST	ATG3 APG3 AUT1 YNR007C N2040
Q12048	ATG41_YEAST	ATG41 ICY2 YPL250C
Q06032	CST9_YEAST	CST9 ZIP3 YLR394W
C7GL28	ATP25_YEAS2	ATP25 C1Q_01031
C8ZEV0	ATP25_YEAS8	ATP25 EC1118_1M3_2685g
Q07897	CMS1_YEAST	CMS1 YLR003C
P20486	CKS1_YEAST	CKS1 YBR135W YBR1011
P47134	BIR1_YEAST	BIR1 YJR089W J1880
P0CD89	AQY2_YEASX	AQY2 AQY2-1
Q08902	AMF1_YEAST	AMF1 YOR378W
P41815	BAP3_YEAST	BAP3 PAP1 YDR046C YD9609.02C
P32449	AROG_YEAST	ARO4 YBR249C YBR1701
P46367	ALDH4_YEAST	ALD4 ALD7 ALDH2 YOR374W O6730
P25296	CANB_YEAST	CNB1 YCN2 YCNB YKL190W
A6ZUG2	CCM1_YEAS7	CCM1 DMR1 RRG2 SCY_2045
C8Z944	CCM1_YEAS8	CCM1 DMR1 RRG2 EC1118_1G1_4709g
P40074	AVT6_YEAST	AVT6 YER119C
P38636	ATX1_YEAST	ATX1 YNL259C N0840
P35734	ASK1_YEAST	ASK1 YKL052C YKL306
