geneName,DEG_id,uniprot_id
CPEB2,DEG20110736,Q7Z5Q1
PPARGC1A,DEG20110737,Q9UBK2
KCNIP4,DEG20110738,Q6PIL6
DHX15,DEG20110739,O43143
SLIT2,DEG20110740,O94813
LCORL,DEG20110741,Q8N3X6
ADGRA3,DEG20110742,Q8IWK6
RBPJ,DEG20110743,Q06330
RBM47,DEG20110744,A0AV96
LIMCH1,DEG20110745,Q9UPQ0
PDS5A,DEG20110746,Q29RF7
UBE2K,DEG20110747,P61086
UCHL1,DEG20110748,P09936
RPL9,DEG20110749,P32969
GABRB1,DEG20110750,P18505
ATP8A1,DEG20110751,Q9Y2Q0
BEND4,DEG20110752,Q6ZU67
GABRA4,DEG20110753,P48169
GABRA2,DEG20110754,P47869
FRYL,DEG20110755,O94915
USP46,DEG20110756,P62068
CLOCK,DEG20110757,O15516
PPAT,DEG20110758,Q06203
TMEM165,DEG20110759,Q9HC07
KIT,DEG20110760,P10721
KDR,DEG20110761,P35968
PDGFRA,DEG20110762,P16234
YTHDC1,DEG20110763,Q96MU7
ADGRL3,DEG20110764,Q9HAR2
REST,DEG20110765,Q13127
POLR2B,DEG20110766,P30876
UBA6,DEG20110767,A0AVT1
SLC4A4,DEG20110768,Q9Y6R1
RUFY3,DEG20110769,Q7L099
ALB,DEG20110770,P02768
ANKRD17,DEG20110771,O75179
USO1,DEG20110772,O60763
NUP54,DEG20110773,Q7Z3B4
G3BP2,DEG20110774,Q9UN86
CNOT6L,DEG20110775,Q96LI5
COPS4,DEG20110776,Q9BT78
HNRNPDL,DEG20110777,O14979
LIN54,DEG20110778,Q6MZP7
WDFY3,DEG20110779,Q8IZQ1
HNRNPD,DEG20110780,Q14103
PKD2,DEG20110781,Q13563
BMPR1B,DEG20110782,O00238
GRID2,DEG20110783,O43424
SMARCAD1,DEG20110784,Q9H4L7
TSPAN5,DEG20110785,P62079
EIF4E,DEG20110786,P06730
DNAJB14,DEG20110787,Q8TBM8
PPP3CA,DEG20110788,Q08209
NFKB1,DEG20110789,P19838
LEF1,DEG20110790,Q9UJU2
SEC24B,DEG20110791,O95487
ANK2,DEG20110792,Q01484
ELOVL6,DEG20110793,Q9H5J4
CCNA2,DEG20110794,P20248
FAT4,DEG20110795,Q6V0I7
ANKRD50,DEG20110796,Q9ULJ7
ADAD1,DEG20110797,Q96M93
ELF2,DEG20110798,Q15723
RAB33B,DEG20110799,Q9H082
NAA15,DEG20110800,Q9BXJ9
JADE1,DEG20110801,Q6IE81
OTUD4,DEG20110802,Q01804
INPP4B,DEG20110803,O15327
HHIP,DEG20110804,Q96QV1
IL15,DEG20110805,P40933
SMARCA5,DEG20110806,O60264
ABCE1,DEG20110807,P61221
FBXW7,DEG20110808,Q969H0
DCLK2,DEG20110809,Q8N568
ZNF827,DEG20110810,Q17R98
NR3C2,DEG20110811,P08235
EDNRA,DEG20110812,P25101
PLRG1,DEG20110813,O43660
KIAA0922,DEG20110814,A2VDJ0
RAPGEF2,DEG20110815,Q9Y4G8
GRIA2,DEG20110816,P42262
NAF1,DEG20110817,Q96HR8
FNIP2,DEG20110818,Q9P278
PDGFC,DEG20110819,Q9NRA1
CPE,DEG20110820,P16870
KLHL2,DEG20110821,O95198
CLCN3,DEG20110822,P51790
HMGB2,DEG20110823,P26583
MFAP3L,DEG20110824,O75121
GPM6A,DEG20110825,P51674
CDKN2AIP,DEG20110826,Q9NXV6
TENM3,DEG20110827,Q9P273
STOX2,DEG20110828,Q9P2F5
TRIP13,DEG20110829,Q15645
SLC9A3,DEG20110830,P48764
PAPD7,DEG20110831,Q5XG87
NSUN2,DEG20110832,Q08J23
ICE1,DEG20110833,Q9Y2F5
ADCY2,DEG20110834,Q08462
SLC6A3,DEG20110835,Q01959
TRIO,DEG20110836,O75962
CTNND2,DEG20110837,Q9UQB3
CCT5,DEG20110838,P48643
MARCH6,DEG20110839,O60337
OTULIN,DEG20110840,Q96BN8
MTMR12,DEG20110841,Q9C0I1
CDH6,DEG20110842,P55285
PDZD2,DEG20110843,O15018
CDH9,DEG20110844,Q9ULB4
ZFR,DEG20110845,Q96KR1
DROSHA,DEG20110846,Q9NRR4
SKP2,DEG20110847,Q13309
PRLR,DEG20110848,P16471
NADK2,DEG20110849,Q4G0N4
BRIX1,DEG20110850,Q8TDN6
NUP155,DEG20110851,O75694
DAB2,DEG20110852,P98082
RICTOR,DEG20110853,Q6R327
NIPBL,DEG20110854,Q6KC79
NNT,DEG20110855,Q13423
ZNF131,DEG20110856,P52739
HMGCS1,DEG20110857,Q01581
PAIP1,DEG20110858,Q9H074
HCN1,DEG20110859,O60741
FST,DEG20110860,P19883
MIER3,DEG20110861,Q7Z3K6
PLK2,DEG20110862,Q9NYY3
GPBP1,DEG20110863,Q86WP2
IL6ST,DEG20110864,P40189
DDX4,DEG20110865,Q9NQI0
MAP3K1,DEG20110866,Q13233
KIF2A,DEG20110867,O00139
PDE4D,DEG20110868,Q08499
RGS7BP,DEG20110869,Q6MZT1
IPO11,DEG20110870,Q9UI26
HTR1A,DEG20110871,P08908
SGTB,DEG20110872,Q96EQ0
PIK3R1,DEG20110873,P27986
ADAMTS6,DEG20110874,Q9UKP5
SREK1,DEG20110875,Q8WXA9
ERBB2IP,DEG20110876,Q96RT1
MAP1B,DEG20110877,P46821
TNPO1,DEG20110878,Q92973
UTP15,DEG20110879,Q8TED0
FCHO2,DEG20110880,Q0JRZ9
BTF3,DEG20110881,P20290
COL4A3BP,DEG20110882,Q9Y5P4
HMGCR,DEG20110883,P04035
FAM169A,DEG20110884,Q9Y6X4
AP3B1,DEG20110885,O00203
CRHBP,DEG20110886,P24387
PDE8B,DEG20110887,O95263
SSBP2,DEG20110888,P81877
HOMER1,DEG20110889,Q86YM7
JMY,DEG20110890,Q8N9B5
RASGRF2,DEG20110891,O14827
VCAN,DEG20110892,P13611
ARRDC3,DEG20110893,Q96B67
RASA1,DEG20110894,P20936
ELL2,DEG20110895,O00472
LNPEP,DEG20110896,Q9UIQ6
FBXL17,DEG20110897,Q9UF56
FER,DEG20110898,P16591
CHD1,DEG20110899,O14646
APC,DEG20110900,P25054
YTHDC2,DEG20110901,Q9H6S0
SEMA6A,DEG20110902,Q9H2E6
DMXL1,DEG20110903,Q9Y485
KCNN2,DEG20110904,Q9H2S1
LOX,DEG20110905,P28300
ZNF608,DEG20110906,Q9ULD9
LMNB1,DEG20110907,P20700
SNX2,DEG20110908,O60749
CSNK1G3,DEG20110909,Q9Y6M4
MEGF10,DEG20110910,Q96KG7
SLC12A2,DEG20110911,P55011
FBN2,DEG20110912,P35556
PDLIM4,DEG20110913,P50479
CTC-432M15.3,DEG20110914,-
FNIP1,DEG20110915,Q8TF40
ADAMTS19,DEG20110916,Q8TE59
RAPGEF6,DEG20110917,Q8TEU7
HSPA4,DEG20110918,P34932
KIF3A,DEG20110919,Q9Y496
FSTL4,DEG20110920,Q6MZW2
AFF4,DEG20110921,Q9UHB7
SEPT8,DEG20110922,Q92599
JADE2,DEG20110923,Q9NQC1
DDX46,DEG20110924,Q7L014
PPP2CA,DEG20110925,P67775
VDAC1,DEG20110926,P21796
SMAD5,DEG20110927,Q99717
KLHL3,DEG20110928,Q9UH77
FAM13B,DEG20110929,Q9NYF5
HSPA9,DEG20110930,P38646
CDC23,DEG20110931,Q9UJX2
CTNNA1,DEG20110932,P35221
KDM3B,DEG20110933,Q7LBC6
MATR3,DEG20110934,P43243
ETF1,DEG20110935,P62495
LRRTM2,DEG20110936,O43300
UBE2D2,DEG20110937,P62837
NRG2,DEG20110938,O14511
ANKHD1-EIF4EBP3,DEG20110939,-
ANKHD1,DEG20110940,Q8IWZ3
ZMAT2,DEG20110941,Q96NC0
PCDHAC2,DEG20110942,Q9Y5I4
PCDHGC4,DEG20110943,Q9Y5F7
HDAC3,DEG20110944,O15379
KCTD16,DEG20110945,Q68DU8
ARHGAP26,DEG20110946,Q9UNA1
ARAP3,DEG20110947,Q8WWN8
YIPF5,DEG20110948,Q969M3
NDFIP1,DEG20110949,Q9BT67
RBM27,DEG20110950,Q9P2N5
TCERG1,DEG20110951,O14776
DPYSL3,DEG20110952,Q14195
JAKMIP2,DEG20110953,Q96AA8
FBXO38,DEG20110954,Q6PIJ6
PPP2R2B,DEG20110955,Q00005
CAMK2A,DEG20110956,Q9UQM7
CSNK1A1,DEG20110957,P48729
CSF1R,DEG20110958,P07333
PPARGC1B,DEG20110959,Q86YN6
PDGFRB,DEG20110960,P09619
SYNPO,DEG20110961,Q8N3V7
NDST1,DEG20110962,P52848
TNIP1,DEG20110963,Q15025
RBM22,DEG20110964,Q9NW64
DCTN4,DEG20110965,Q9UJW0
G3BP1,DEG20110966,Q13283
LARP1,DEG20110967,Q6PKG0
GRIA1,DEG20110968,P42261
CYFIP2,DEG20110969,Q96F07
SOX30,DEG20110970,O94993
EBF1,DEG20110971,Q9UH73
TENM2,DEG20110972,Q9NT68
GABRA1,DEG20110973,P14867
GABRG2,DEG20110974,P18507
PWWP2A,DEG20110975,Q96N64
GABRB2,DEG20110976,P47870
DOCK2,DEG20110977,Q92608
LCP2,DEG20110978,Q13094
NPM1,DEG20110979,P06748
SLIT3,DEG20110980,O75094
FBXW11,DEG20110981,Q9UKB1
CPEB4,DEG20110982,Q17RY0
CREBRF,DEG20110983,Q8IUR6
UNC5A,DEG20110984,Q6ZN44
FAF2,DEG20110985,Q96CS3
PDLIM7,DEG20110986,Q9NR12
FAM193B,DEG20110987,Q96PV7
DBN1,DEG20110988,Q16643
NSD1,DEG20110989,Q96L73
ADAMTS2,DEG20110990,O95450
HNRNPAB,DEG20110991,Q99729
FLT4,DEG20110992,P35916
MAML1,DEG20110993,Q92585
HNRNPH1,DEG20110994,P31943
TRIM41,DEG20110995,Q8WV44
GNB2L1,DEG20110996,P63244
GMDS,DEG20110997,O60547
IRF4,DEG20110998,Q15306
RREB1,DEG20110999,Q92766
PRPF4B,DEG20111000,Q13523
CDYL,DEG20111001,Q9Y232
DSP,DEG20111002,P15924
TFAP2A,DEG20111003,P05549
RANBP9,DEG20111004,Q96S59
HIVEP1,DEG20111005,P15822
JARID2,DEG20111006,Q92833
KIF13A,DEG20111007,Q9H1H9
NUP153,DEG20111008,P49790
FAM65B,DEG20111009,Q9Y4F9
C6orf62,DEG20111010,Q9GZU0
GABBR1,DEG20111011,Q9UBS5
TRIM39,DEG20111012,Q9HCM9
PPP1R10,DEG20111013,Q96QC0
GNL1,DEG20111014,P36915
DDX39B,DEG20111015,Q13838
BAG6,DEG20111016,P46379
CSNK2B,DEG20111017,P67870
ABHD16A,DEG20111018,O95870
PRRC2A,DEG20111019,P48634
AGPAT1,DEG20111020,Q99943
BRD2,DEG20111021,P25440
COL11A2,DEG20111022,P13942
RXRB,DEG20111023,P28702
RING1,DEG20111024,Q06587
RPS18,DEG20111025,P62269
SYNGAP1,DEG20111026,Q96PV0
PHF1,DEG20111027,O43189
GRM4,DEG20111028,Q14833
SCUBE3,DEG20111029,Q8IX30
PPARD,DEG20111030,Q03181
PACSIN1,DEG20111031,Q9BY11
DEF6,DEG20111032,Q9H4E7
RPS10,DEG20111033,P46783
BRPF3,DEG20111034,Q9ULD4
MAPK14,DEG20111035,Q16539
SRSF3,DEG20111036,P84103
MTCH1,DEG20111037,Q9NZJ7
ZFAND3,DEG20111038,Q9H8U3
MDGA1,DEG20111039,Q8NFP4
RNF8,DEG20111040,O76064
CMTR1,DEG20111041,Q8N1G2
DAAM2,DEG20111042,Q86T65
CCND3,DEG20111043,P30281
TFEB,DEG20111044,P19484
TRERF1,DEG20111045,Q96PN7
USP49,DEG20111046,Q70CQ1
UBR2,DEG20111047,Q8IWV8
GLTSCR1L,DEG20111048,Q6AI39
PPP2R5D,DEG20111049,Q14738
PTK7,DEG20111050,Q13308
KLHDC3,DEG20111051,Q9BQ90
SRF,DEG20111052,P11831
TTBK1,DEG20111053,Q5TCY1
CUL9,DEG20111054,Q8IWT3
SLC29A1,DEG20111055,Q99808
XPO5,DEG20111056,Q9HAV4
HSP90AB1,DEG20111057,P08238
TMEM63B,DEG20111058,Q5T3F8
ADGRF5,DEG20111059,Q8IZF2
RUNX2,DEG20111060,Q13950
CDC5L,DEG20111061,Q99459
OPN5,DEG20111062,Q6U736
TFAP2D,DEG20111063,Q7Z6R9
ELOVL5,DEG20111064,Q9NYP7
TFAP2B,DEG20111065,Q92481
GCM1,DEG20111066,Q9NP62
TRAM2,DEG20111067,Q15035
DST,DEG20111068,Q03001
KCNQ5,DEG20111069,Q9NR82
SMAP1,DEG20111070,Q8IYB5
PHF3,DEG20111071,Q92576
ADGRB3,DEG20111072,O60242
SENP6,DEG20111073,Q9GZR1
COL12A1,DEG20111074,Q99715
PHIP,DEG20111075,Q8WWQ0
EEF1A1,DEG20111076,P68104
IBTK,DEG20111077,Q9P2D0
SNAP91,DEG20111078,O60641
DOPEY1,DEG20111079,Q5JWR5
TBX18,DEG20111080,O95935
AKIRIN2,DEG20111081,Q53H80
SYNCRIP,DEG20111082,O60506
ZNF292,DEG20111083,O60281
MAP3K7,DEG20111084,O43318
EPHA7,DEG20111085,Q15375
MDN1,DEG20111086,Q9NU22
SIM1,DEG20111087,P81133
CCNC,DEG20111088,P24863
ATG5,DEG20111089,Q9H1Y0
GRIK2,DEG20111090,Q13002
PNISR,DEG20111091,Q8TF01
PRDM1,DEG20111092,O75626
PREP,DEG20111093,P48147
NR2E1,DEG20111094,Q9Y466
WASF1,DEG20111095,Q92558
REV3L,DEG20111096,O60673
CDK19,DEG20111097,Q9BWU1
CDC40,DEG20111098,O60508
FYN,DEG20111099,P06241
AMD1,DEG20111100,P17707
HDAC2,DEG20111101,Q92769
HSF2,DEG20111102,Q03933
NCOA7,DEG20111103,Q8NI08
EPB41L2,DEG20111104,O43491
PTPRK,DEG20111105,Q15262
L3MBTL3,DEG20111106,Q96JM7
SGK1,DEG20111107,O00141
PDE7B,DEG20111108,Q9NP56
HBS1L,DEG20111109,Q9Y450
ARFGEF3,DEG20111110,Q5TH69
MAP3K5,DEG20111111,Q99683
REPS1,DEG20111112,Q96D71
MAP7,DEG20111113,Q14244
TNFAIP3,DEG20111114,P21580
HIVEP2,DEG20111115,P31629
GRM1,DEG20111116,Q13255
TAB2,DEG20111117,Q9NYJ8
STXBP5,DEG20111118,Q5T5C0
LATS1,DEG20111119,O95835
FBXO30,DEG20111120,Q8TB52
UST,DEG20111121,Q9Y2C2
ESR1,DEG20111122,P03372
ZBTB2,DEG20111123,Q8N680
FBXO5,DEG20111124,Q9UKT4
SCAF8,DEG20111125,Q9UPN6
ZDHHC14,DEG20111126,Q8IZN3
ARID1B,DEG20111127,Q8NFD5
TULP4,DEG20111128,Q9NRJ4
IGF2R,DEG20111129,P11717
TAGAP,DEG20111130,Q8N103
TCP1,DEG20111131,P17987
EZR,DEG20111132,P15311
WTAP,DEG20111133,Q15007
PDE10A,DEG20111134,Q9Y233
QKI,DEG20111135,Q96PU8
MAP3K4,DEG20111136,Q9Y6R4
DLL1,DEG20111137,O00548
MLLT4,DEG20111138,P55196
GET4,DEG20111139,Q7L5D6
CARD11,DEG20111140,Q9BXL7
FOXK1,DEG20111141,P85037
GNA12,DEG20111142,Q03113
EIF3B,DEG20111143,P55884
TTYH3,DEG20111144,Q9C0H2
CCZ1,DEG20111145,P86791
USP42,DEG20111146,Q9H9J4
ACTB,DEG20111147,P60709
TNRC18,DEG20111148,O15417
ETV1,DEG20111149,P50549
THSD7A,DEG20111150,Q9UPZ6
BZW2,DEG20111151,Q9Y6E2
SNX13,DEG20111152,Q9Y5W8
SP4,DEG20111153,Q02446
HDAC9,DEG20111154,Q9UKV0
AHR,DEG20111155,P35869
ITGB8,DEG20111156,P26012
RAPGEF5,DEG20111157,Q92565
MPP6,DEG20111158,Q9NZW5
HNRNPA2B1,DEG20111159,P22626
IGF2BP3,DEG20111160,O00425
HOXA3,DEG20111161,O43365
SKAP2,DEG20111162,O75563
JAZF1,DEG20111163,Q86VZ6
CREB5,DEG20111164,Q02930
HERPUD2,DEG20111165,Q9BSE4
ANLN,DEG20111166,Q9NQW6
KBTBD2,DEG20111167,Q8IY47
SEPT7,DEG20111168,Q16181
RALA,DEG20111169,P11233
PSMA2,DEG20111170,P25787
ELMO1,DEG20111171,Q92556
GLI3,DEG20111172,P10071
HECW1,DEG20111173,Q76N89
OGDH,DEG20111174,Q02218
ZMIZ2,DEG20111175,Q8NF64
ADCY1,DEG20111176,Q08828
TNS3,DEG20111177,Q68CZ2
COBL,DEG20111178,O75128
IKZF1,DEG20111179,Q13422
EGFR,DEG20111180,P00533
CCT6A,DEG20111181,P40227
AUTS2,DEG20111182,Q8WXX7
STX1A,DEG20111183,Q16623
BAZ1B,DEG20111184,Q9UIG0
LIMK1,DEG20111185,P53667
NCF1,DEG20111186,P14598
HIP1,DEG20111187,O00291
EIF4H,DEG20111188,Q15056
GTF2IRD1,DEG20111189,Q9UHL9
GTF2I,DEG20111190,P78347
CLIP2,DEG20111191,Q9UDT6
PTPN12,DEG20111192,Q05209
YWHAG,DEG20111193,P61981
SRRM3,DEG20111194,A6NNA2
GNAI1,DEG20111195,P63096
DBF4,DEG20111196,Q9UBU7
SEMA3A,DEG20111197,Q14563
GRM3,DEG20111198,Q14832
DMTF1,DEG20111199,Q9Y222
HGF,DEG20111200,P14210
CACNA2D1,DEG20111201,P54289
PCLO,DEG20111202,Q9Y6V0
ADAM22,DEG20111203,Q9P0K1
ANKIB1,DEG20111204,Q9P2G1
CDK6,DEG20111205,Q00534
VPS50,DEG20111206,Q96JG6
COL1A2,DEG20111207,P08123
LMTK2,DEG20111208,Q8IWU2
TRRAP,DEG20111209,Q9Y4A5
SMURF1,DEG20111210,Q9HCE7
GIGYF1,DEG20111211,O75420
MEPCE,DEG20111212,Q7L2J0
NYAP1,DEG20111213,Q6ZVC0
GNB2,DEG20111214,P62879
ACTL6B,DEG20111215,O94805
SRRT,DEG20111216,Q9BXP5
EPHB4,DEG20111217,P54760
ACHE,DEG20111218,P22303
CUX1,DEG20111219,P39880
NAMPT,DEG20111220,P43490
SRPK2,DEG20111221,P78362
PSMC2,DEG20111222,P35998
RELN,DEG20111223,P78509
DNAJC2,DEG20111224,Q99543
KMT2E,DEG20111225,Q8IZD2
PRKAR2B,DEG20111226,P31323
CBLL1,DEG20111227,Q75N03
DOCK4,DEG20111228,Q8N1I0
C7orf60,DEG20111229,Q1RMZ1
MET,DEG20111230,P08581
CAPZA2,DEG20111231,P47755
FOXP2,DEG20111232,O15409
ST7,DEG20111233,Q9NRC1
ING3,DEG20111234,Q9NXR8
PTPRZ1,DEG20111235,P23471
KCND2,DEG20111236,Q9NZV8
CADPS2,DEG20111237,Q86UW7
WASL,DEG20111238,O00401
ZNF800,DEG20111239,Q2TB10
SND1,DEG20111240,Q7KZF4
FLNC,DEG20111241,Q14315
KLHDC10,DEG20111242,Q6PID8
UBE2H,DEG20111243,P62256
AHCYL2,DEG20111244,Q96HN2
NRF1,DEG20111245,Q16656
MEST,DEG20111246,Q5EB52
MKLN1,DEG20111247,Q9UL63
PLXNA4,DEG20111248,Q9HCM2
CALD1,DEG20111249,Q05682
SLC13A4,DEG20111250,Q9UKG4
CNOT4,DEG20111251,O95628
NUP205,DEG20111252,Q92621
TRIM24,DEG20111253,O15164
KDM7A,DEG20111254,Q6ZMT4
C7orf55-LUC7L2,DEG20111255,-
HIPK2,DEG20111256,Q9H2X6
KIAA1549,DEG20111257,Q9HCM3
UBN2,DEG20111258,Q6ZU65
DENND2A,DEG20111259,Q9ULE3
BRAF,DEG20111260,P15056
MKRN1,DEG20111261,Q9UHC7
FAM131B,DEG20111262,Q86XD5
ZNF777,DEG20111263,Q9ULD5
EZH2,DEG20111264,Q15910
ZNF398,DEG20111265,Q8TD17
CUL1,DEG20111266,Q13616
REPIN1,DEG20111267,Q9BWE0
KCNH2,DEG20111268,Q12809
CDK5,DEG20111269,Q00535
ABCF2,DEG20111270,Q9UG63
SLC4A2,DEG20111271,P04920
AGAP3,DEG20111272,Q96P47
RHEB,DEG20111273,Q15382
PRKAG2,DEG20111274,Q9UGJ0
KMT2C,DEG20111275,Q8NEZ4
ACTR3B,DEG20111276,Q9P1U1
DPP6,DEG20111277,P42658
RBM33,DEG20111278,Q96EV2
PAXIP1,DEG20111279,Q6ZW49
SHH,DEG20111280,Q15465
NCAPG2,DEG20111281,Q86XI2
DNAJB6,DEG20111282,O75190
UBE3C,DEG20111283,Q15386
DLGAP2,DEG20111284,Q9P1A6
XKR6,DEG20111285,Q5GH73
DLC1,DEG20111286,Q96QB1
LONRF1,DEG20111287,Q17RB8
CNOT7,DEG20111288,Q9UIV1
DMTN,DEG20111289,Q08495
ATP6V1B2,DEG20111290,P21281
XPO7,DEG20111291,Q9UIA9
INTS10,DEG20111292,Q9NVR2
CHMP7,DEG20111293,Q8WUX9
CCAR2,DEG20111294,Q8N163
DPYSL2,DEG20111295,Q16555
EBF2,DEG20111296,Q9HAK2
PPP2R2A,DEG20111297,P63151
HMBOX1,DEG20111298,Q6NT76
PTK2B,DEG20111299,Q14289
NRG1,DEG20111300,Q02297
MAK16,DEG20111301,Q9BXY0
PURG,DEG20111302,Q9UJV8
LSM1,DEG20111303,O15116
ASH2L,DEG20111304,Q9UBL3
WHSC1L1,DEG20111305,Q9BZ95
FGFR1,DEG20111306,P11362
ANK1,DEG20111307,P16157
IKBKB,DEG20111308,O14920
FNTA,DEG20111309,P49354
PRKDC,DEG20111310,P78527
VDAC3,DEG20111311,Q9Y277
KAT6A,DEG20111312,Q92794
HOOK3,DEG20111313,Q86VS8
ST18,DEG20111314,O60284
RB1CC1,DEG20111315,Q8TDY2
XKR4,DEG20111316,Q5GH76
LYN,DEG20111317,P07948
CHD7,DEG20111318,Q9P2D1
YTHDF3,DEG20111319,Q7Z739
RAB2A,DEG20111320,P61019
PRDM14,DEG20111321,Q9GZV8
MYBL1,DEG20111322,P10243
ARFGEF1,DEG20111323,Q9Y6D6
VCPIP1,DEG20111324,Q96JH7
NCOA2,DEG20111325,Q15596
COPS5,DEG20111326,Q92905
KCNB2,DEG20111327,Q92953
STAU2,DEG20111328,Q9NUL3
RDH10,DEG20111329,Q8IZV5
UBE2W,DEG20111330,Q96B02
RPL7,DEG20111331,P18124
EYA1,DEG20111332,Q99502
HEY1,DEG20111333,Q9Y5J3
ZFHX4,DEG20111334,Q86UP3
ZNF704,DEG20111335,Q6ZNC4
STMN2,DEG20111336,Q93045
MMP16,DEG20111337,P51512
OSGIN2,DEG20111338,Q9Y236
WWP1,DEG20111339,Q9H0M0
INTS8,DEG20111340,Q75QN2
RUNX1T1,DEG20111341,Q06455
KIAA1429,DEG20111342,Q69YN4
ESRP1,DEG20111343,Q6NXG1
GDF6,DEG20111344,Q6KF10
GRHL2,DEG20111345,Q6ISB3
PABPC1,DEG20111346,P11940
UBR5,DEG20111347,O95071
ANKRD46,DEG20111348,Q86W74
ZFPM2,DEG20111349,Q8WW38
ANGPT1,DEG20111350,Q15389
LRP12,DEG20111351,Q9Y561
AZIN1,DEG20111352,O14977
RIMS2,DEG20111353,Q9UQ26
RAD21,DEG20111354,O60216
CSMD3,DEG20111355,Q7Z407
TRPS1,DEG20111356,Q9UHF7
EXT1,DEG20111357,Q16394
HAS2,DEG20111358,Q92819
SQLE,DEG20111359,Q14534
ATAD2,DEG20111360,Q6PL18
MTSS1,DEG20111361,O43312
FBXO32,DEG20111362,Q969P5
TRMT12,DEG20111363,Q53H54
FAM49B,DEG20111364,Q9NUQ9
ASAP1,DEG20111365,Q9ULH1
KCNQ3,DEG20111366,O43525
PHF20L1,DEG20111367,A8MW92
FAM135B,DEG20111368,Q49AJ0
ARC,DEG20111369,Q7LC44
ADGRB1,DEG20111370,O14514
PTK2,DEG20111371,Q05397
AGO2,DEG20111372,Q9UKV8
ZC3H3,DEG20111373,Q8IXZ2
SCRIB,DEG20111374,Q14160
CYC1,DEG20111375,P08574
ADCK5,DEG20111376,Q3MIX3
RPL8,DEG20111377,P62917
CDC37L1,DEG20111378,Q7L3B6
SMARCA2,DEG20111379,P51531
RFX3,DEG20111380,P48380
RCL1,DEG20111381,Q9Y2P8
UHRF2,DEG20111382,Q96PU4
JAK2,DEG20111383,O60674
PTPRD,DEG20111384,P23468
PSIP1,DEG20111385,O75475
BNC2,DEG20111386,Q6ZN30
NFIB,DEG20111387,O00712
SH3GL2,DEG20111388,Q99962
MLLT3,DEG20111389,P42568
KLHL9,DEG20111390,Q9P2J3
TEK,DEG20111391,Q02763
ELAVL2,DEG20111392,Q12926
SMU1,DEG20111393,Q2TAY7
NOL6,DEG20111394,Q9H6R4
TOPORS,DEG20111395,Q9NS56
UBE2R2,DEG20111396,Q712K3
UBAP1,DEG20111397,Q9NZ09
CNTFR,DEG20111398,P26992
UBAP2,DEG20111399,Q5T6F2
RUSC2,DEG20111400,Q8N2Y8
TESK1,DEG20111401,Q15569
VCP,DEG20111402,P55072
CD72,DEG20111403,P21854
TLN1,DEG20111404,Q9Y490
NPR2,DEG20111405,P20594
PAX5,DEG20111406,Q02548
DCAF10,DEG20111407,Q5QP82
RNF38,DEG20111408,Q9H0F5
CLTA,DEG20111409,P09496
PGM5,DEG20111410,Q15124
RORB,DEG20111411,Q92753
ALDH1A1,DEG20111412,P00352
GDA,DEG20111413,Q9Y2T3
ZFAND5,DEG20111414,O76080
ABHD17B,DEG20111415,Q5VST6
SMC5,DEG20111416,Q8IY18
TLE4,DEG20111417,Q04727
TLE1,DEG20111418,Q04724
GNAQ,DEG20111419,P50148
NAA35,DEG20111420,Q5VZE5
UBQLN1,DEG20111421,Q9UMX0
NTRK2,DEG20111422,Q16620
ZCCHC6,DEG20111423,Q5VYS8
DAPK1,DEG20111424,P53355
HNRNPK,DEG20111425,P61978
SEMA4D,DEG20111426,Q92854
NFIL3,DEG20111427,Q16649
SYK,DEG20111428,P43405
SPIN1,DEG20111429,Q9Y657
PHF2,DEG20111430,O75151
IPPK,DEG20111431,Q9H8X2
FAM120A,DEG20111432,Q9NZB2
PTCH1,DEG20111433,Q13635
GABBR2,DEG20111434,O75899
NCBP1,DEG20111435,Q09161
ANP32B,DEG20111436,Q92688
TGFBR1,DEG20111437,P36897
ERP44,DEG20111438,Q9BS26
TEX10,DEG20111439,Q9NXF1
SMC2,DEG20111440,O95347
KLF4,DEG20111441,O43474
ZNF462,DEG20111442,Q96JM2
SLC44A1,DEG20111443,Q8WWI5
RAD23B,DEG20111444,P54727
KIAA0368,DEG20111445,Q5VYK3
EPB41L4B,DEG20111446,Q9H329
UGCG,DEG20111447,Q16739
PRPF4,DEG20111448,O43172
SNX30,DEG20111449,Q5VWJ9
PTBP3,DEG20111450,O95758
ZNF618,DEG20111451,Q5T7W0
COL27A1,DEG20111452,Q8IZC6
PAPPA,DEG20111453,Q13219
RAB14,DEG20111454,P61106
MEGF9,DEG20111455,Q9H1U4
PHF19,DEG20111456,Q5T6S3
DAB2IP,DEG20111457,Q5VWQ8
ASTN2,DEG20111458,O75129
FBXW2,DEG20111459,Q9UKT8
BRINP1,DEG20111460,O60477
LHX6,DEG20111461,Q9UPM6
RC3H2,DEG20111462,Q9HBD1
RABGAP1,DEG20111463,Q9Y3P9
LHX2,DEG20111464,P50458
DENND1A,DEG20111465,Q8TEH3
STRBP,DEG20111466,Q96SI9
PSMB7,DEG20111467,Q99436
SCAI,DEG20111468,Q8N9R8
NR6A1,DEG20111469,Q15406
PPP6C,DEG20111470,O00743
NR5A1,DEG20111471,Q13285
RALGPS1,DEG20111472,Q5JS13
MAPKAP1,DEG20111473,Q9BPZ7
STXBP1,DEG20111474,P61764
GAPVD1,DEG20111475,Q14C86
CIZ1,DEG20111476,Q9ULV3
ENG,DEG20111477,P17813
DNM1,DEG20111478,Q05193
